id,old,new
1,other,other
2,luggage (all types including footlockers),baggage/cases/purses
3,cell phones,personal electronics
4,"baby - strollers, car seats, playpen, etc.",toys & games
5,professional equipment,office equipment & supplies
6,"clothing - shoes, belts, accessories, etc.",clothing
7,computer - laptop,computer & accessories
8,jewelry - fine,jewelry & watches
9,eyeglasses - (including contact lenses),personal accessories
10,photographic film,cameras
11,stereo items & accessories,audio/video
12,currency,currency
13,cameras - digital,cameras
14,-,-
15,"cosmetics - perfume, toilet articles, medicines, soaps, etc.",cosmetics & grooming
16,locks,household items
17,pda - personal data assistants,personal electronics
18,dvd/cd players,audio/video
19,musical instruments - other - over $250,musical instruments & accessories
20,fish/game,hunting & fishing items
21,medicines,medical/science
22,watches - expensive more than $100,jewelry & watches
23,alcoholic beverages,food & drink
24,automobile parts,automobile parts & accessories
25,"tools - power (including air tools, not in a vehicle)",tools & home improvement supplies
26,"cameras - non-electronic (camera supplies, lenses, projectors, etc.)",cameras
27,handbags & purses (leather or fabric),baggage/cases/purses
28,"dishes, pottery, glassware, plasticware",household items
29,"sporting equipment & supplies (footballs, parachutes, etc.)",sporting equipment & supplies
30,"toys - other (including games, toys, play dolls etc.)",toys & games
31,books - other (hardcover non-fiction),"books, magazines & other"
32,jewelry - costume,jewelry & watches
33,dental equipment and instruments,medical/science
34,"books - reference books, cookbooks, etc.","books, magazines & other"
35,hearing aids,medical/science
36,video recordings (blank & commercial),audio/video
37,clocks - inexpensive ($75.00 or less),household items
38,audio - cd's,audio/video
39,medical equipment & insturments,medical/science
40,candles - decorative and other,home decor
41,camping equipment & supplies,outdoor items
42,"bags - fabric, plastic, etc. (not purses)",travel accessories
43,"game equipment (poker chips, checker sets, chess etc.)",toys & games
44,video recordings - laser discs,audio/video
45,"lighting supplies (globe domes, electric candlesticks, candelabra, etc.)",crafting & hobby
46,"paintings and pictures (including frames, etchings, photos, etc)",home decor
47,"lighters - (cigar, cigerette, etc.)",household items
48,tools - manual (not in a vehicle),tools & home improvement supplies
49,"house keeping items (mops, brooms, ironing boards, pails, etc)",household items
50,gps - global positioning system,personal electronics
51,binoculars,hunting & fishing items
52,"brushes - hair, clothes, etc.",cosmetics & grooming
53,briefcases,travel accessories
54,"barber supplies - scissors, shears, elecric razors, etc.",cosmetics & grooming
